12:29:45 PM  [main] 	Initializing Control Panel
12:29:45 PM  [main] 	Windows Version:  Home  64-bit
12:29:45 PM  [main] 	XAMPP Version: 8.2.4
12:29:45 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
12:29:45 PM  [main] 	You are not running with administrator rights! This will work for
12:29:45 PM  [main] 	most application stuff but whenever you do something with services
12:29:45 PM  [main] 	there will be a security dialogue or things will break! So think 
12:29:45 PM  [main] 	about running this application with administrator rights!
12:29:45 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
12:29:45 PM  [main] 	Checking for prerequisites
12:29:45 PM  [main] 	All prerequisites found
12:29:45 PM  [main] 	Initializing Modules
12:29:45 PM  [main] 	Starting Check-Timer
12:29:45 PM  [main] 	Control Panel Ready
12:29:46 PM  [Apache] 	Attempting to start Apache app...
12:29:46 PM  [mysql] 	Attempting to start MySQL app...
12:29:47 PM  [Apache] 	Status change detected: running
12:29:47 PM  [mysql] 	Status change detected: running
1:14:14 PM  [Apache] 	Attempting to stop Apache (PID: 17936)
1:14:14 PM  [Apache] 	Attempting to stop Apache (PID: 7388)
1:14:14 PM  [Apache] 	Status change detected: stopped
1:14:14 PM  [mysql] 	Attempting to stop MySQL app...
1:14:15 PM  [mysql] 	Status change detected: stopped
1:34:38 PM  [main] 	Deinitializing Modules
1:34:38 PM  [main] 	Deinitializing Control Panel

